Nazwa,EMI16,IMI16,SALDO16,EMI17,IMI17,SALDO17,EMI18,IMI18,SALDO18,EMI19,IMI19,SALDO19,EMI20,IMI20,SALDO20,EMI21,IMI21,SALDO21,EMI22,IMI22,SALDO22
Austria ,481,213,-268,387,256,-131,359,311,-48,397,334,-63,553,254,-299,629,269,-360,445,299,-146
Belgium,200,273,73,251,262,11,187,313,126,224,362,138,226,234,8,323,279,-44,224,292,68
Belarus,3,393,390,1,417,416,0,590,590,1,745,744,1,740,739,4,938,934,1,1306,1305
Bulgaria,2,42,40,11,64,53,6,80,74,7,63,56,4,75,71,14,61,47,14,87,73
Cyprus,8,15,7,14,20,6,20,15,-5,7,22,15,5,12,7,13,3,-10,19,6,-13
Czechia ,45,99,54,42,53,11,47,85,38,30,72,42,33,76,43,65,87,22,85,94,9
Denmark,125,115,-10,130,108,-22,134,154,20,130,126,-4,179,101,-78,223,108,-115,268,91,-177
Estonia,0,5,5,1,7,6,6,7,1,3,12,9,2,4,2,6,5,-1,2,10,8
Finland,10,50,40,23,25,2,21,26,5,22,29,7,28,21,-7,52,23,-29,58,18,-40
France,199,352,153,209,348,139,212,367,155,174,426,252,147,331,184,227,358,131,268,315,47
Greece,24,76,52,26,60,34,27,61,34,39,77,38,16,43,27,22,50,28,48,47,-1
Spain,138,220,82,175,193,18,171,215,44,169,219,50,105,167,62,157,187,30,296,163,-133
Ntherlands,786,497,-289,758,492,-266,787,525,-262,770,633,-137,968,581,-387,1169,634,-535,961,675,-286
Ireland,524,627,103,484,617,133,480,675,195,361,747,386,343,507,164,490,531,41,589,481,-108
Iceland,67,52,-15,51,46,-5,67,43,-24,60,89,29,33,58,25,50,66,16,103,64,-39
Lithuania,4,69,65,8,68,60,2,71,69,1,70,69,6,63,57,6,66,60,10,67,57
Luxembourg,21,19,-2,21,14,-7,22,15,-7,24,17,-7,15,20,5,27,13,-14,52,19,-33
Latvia,0,25,25,0,18,18,0,24,24,0,25,25,5,18,13,0,23,23,5,15,10
Germany,4437,1921,-2516,4514,2015,-2499,4370,2320,-2050,3846,2507,-1339,2588,2230,-358,3722,2431,-1291,3913,2348,-1565
Berlin Zachodni,,,,,,,,,,,,,,,,,,,,,
RFN ,,,,,,,,,,,,,,,,,,,,,
NRD,,,,,,,,,,,,,,,,,,,,,
Norway,257,352,95,260,346,86,274,364,90,272,397,125,256,268,12,424,274,-150,652,272,-380
Portugal,4,54,50,18,49,31,30,57,27,19,83,64,22,51,29,38,56,18,80,45,-35
Russia,10,197,187,4,228,224,3,262,259,5,221,216,6,209,203,5,258,253,0,330,330
Romania,1,61,60,1,54,53,8,92,84,1,78,77,2,63,61,4,68,64,5,79,74
